Almoxarifado;Material;Fornecedor;Endereço;Situação;Estocável;Consignado;Validade;
"ALMOXARIFADO CENTRAL";"82 - ACUCAR";"Completar";"EAR4";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"82 - ACUCAR";"Completar";"EAR4";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"82 - ACUCAR";"Completar";"EAR4";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"82 - ACUCAR";"Completar";"EAR4";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"162 - AGUA MINERAL";"Completar";"CORREDOR";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"162 - AGUA MINERAL";"Completar";"CORREDOR";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"162 - AGUA MINERAL";"Completar";"CORREDOR";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"162 - AGUA MINERAL";"Completar";"CORREDOR";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"162 - AGUA MINERAL";"Completar";"CORREDOR";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"162 - AGUA MINERAL";"Completar";"CORREDOR";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"162 - AGUA MINERAL";"Completar";"CORREDOR";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"179 - ALCOOL ABSOLUTO FRASCO 1000ML";"Completar";"LC1";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"180 - ALCOOL METILICO (METANOL) FRASCO 1000ML";"Completar";"LB41";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"180 - ALCOOL METILICO (METANOL) FRASCO 1000ML";"Completar";"LB41";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"180 - ALCOOL METILICO (METANOL) FRASCO 1000ML";"Completar";"LB41";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"189 - INATIVO - MEIO DE CULTURA CALDO B.H.I (BRAIN HEART INFUSION)";"Completar";"LAB53";"Inativo";"Não";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"193 - CLORETO DE OURO";"Completar";"LAB53";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"193 - CLORETO DE OURO";"Completar";"LAB53";"Ativo";"Sim";"Não";"Sim";
"ALMOXARIFADO CENTRAL";"193 - CLORETO DE OURO";"Completar";"LAB53";"Ativo";"Sim";"Não";"Sim";
