Competência;Cód.Forn;Fornecedor;Material;Cód. Grupo;Grupo;Estocável;Genérico;Unid.;Class. ABC;Sub. ABC;Qtd;Custo Médio;Resíduo;Valor;
"04/2026";"1";"Completar";"404963 - CATETER MULTIPOLAR DIAGNOSTICO PARA MAPEAMENTO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404961 - CATETER DE ULTRASSONOGRAFIA INTRACARDIACA";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404957 - HISTEROMETRO TIPO SIMS GINECOLOGICO 27 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404955 - TAMPA PROTETORA LUER LOCK FEMEA E MACHO";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404945 - CONECTOR ESPAÇADOR MDI PARA AEROSSOL";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"150";"17,2100";"0,00";"2.581,50";
"04/2026";"1";"Completar";"404895 - COBERTURA PARA CURATIVO TIPO FILME TRANSPARENTE 15CMX10M";"36";"MATERIAL HOSPITALAR";"Não";"Não";"RL";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404894 - MINI PARAFUSO DE AUTO COMPRESSAO REF. 0702030619";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404893 - MINI PLACA EM T OU L REF. 0702031364";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400091 - INTRODUTOR VALVULADO REF. 0702050342";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"A";"200";"60,0000";"0,00";"12.000,00";
"04/2026";"1";"Completar";"404825 - CATETER PARA DIALISE PERITONEAL TIPO TENCKHOFF NEONATAL, SILICONE MEDICO, COM DOIS CUFFS, 31 CM 15FR";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"400340 - PLACA EM TREVO 3,5 MM INCLUI PARAFUSOS REF. 0702031011";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"C";"B";"0";"323,1900";"0,00";"0,00";
"04/2026";"1";"Completar";"400134 - COILS EMBOLIZANTES PARA ANEURISMA CEREBRAL - REF. 0702040169";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"C";"B";"0";"1.777,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404379 - PINCA CIRURGICA, TIPO COOLEY DEBAKEY, COM ANGULA??O DE 90 GRAUS HASTE 10 MM, ?REA DE TRABALHO 16,5 CM, COMPRIMENTO TOTAL CERCA DE 34 CM, SEM CREMALHEIRA. MATERIAL ACO INOXIDAVEL, AUTOCLAVAVEL ATE 135 GRAUS CENTIGRADOS PARA REALIZA??O DE CIRURGIA TOR";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"C";"B";"0";"760,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"1451 - CONJUNTO CPAP NASAL NEONATAL N. 2";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"45";"59,0000";"0,00";"2.655,00";
"04/2026";"1";"Completar";"402719 - MASCARA LARINGEA EM SILICONE PARA PACIENTES ATE 5 KG TAM. 1";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"C";"A";"16";"125,0000";"0,00";"2.000,00";
"04/2026";"1";"Completar";"4390 - TUBO LARINGEO TIPO MASCARA LARINGEA N. 4";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"C";"A";"31";"26,0000";"0,00";"806,00";
"04/2026";"1";"Completar";"402181 - LAMINA DE COBRE PARA CONEXAO ESTERIL DE BOLSAS DE SANGUE";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"C";"A";"420";"27,0000";"0,00";"11.340,00";
"04/2026";"1";"Completar";"404383 - PINCA CIRURGICA, TIPO DISSECCAO (ANATOMICA), DENTE DE RATO, COMPRIMENTO CERCA DE 20 CM, PONTA 1 X 2 DENTES. MATERIAL ACO INOXIDAVEL AISI 420, AUTOCLAVAVEL ATE 135 GRAUS CENTIGRADOS COM COMPATIBILIDADE PARA SISTEMA DE RASTREABILIDADE. GARANTIA DE 10";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"C";"A";"0";"33,2500";"0,00";"0,00";
"04/2026";"1";"Completar";"404951 - ELETRODO PEDIATRICO MULTIFUNCIONAL P/ BENHEART MR.61";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"3";"480,0000";"0,00";"1.440,00";
"04/2026";"1";"Completar";"404941 - TROCATER PARA CIRURGIA VIDEOLAPAROSCOPICA  10 MM X 11 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404939 - TROCATER PARA CIRURGIA VIDEOLAPAROSCOPICA 10 MM X 15 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"0";"0,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404937 - REDUTOR DE TROCARTE, REDUCAO DE APROXIMADAMENTE 10 MM PARA 5 MM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"";"";"0";"390,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"404248 - TESOURA SEMIFLEXIVEL SIMPLES ACAO TAMANHO 5 FR X 40 CM";"36";"MATERIAL HOSPITALAR";"Não";"Não";"UN";"B";"A";"0";"1.950,0000";"0,00";"0,00";
"04/2026";"1";"Completar";"403674 - CATETER VENOSO CENTRAL DUPLO LUMEN 4 FR X 10 A 15 CM";"36";"MATERIAL HOSPITALAR";"Sim";"Não";"UN";"A";"B";"47";"52,0000";"0,00";"2.444,00";
